Time [s],Heating [W],Observed T [K]
2304,3.4689,0.053266
2308,3.469,0.054538
2312,3.4691,0.05581
2316,3.4691,0.055183
2320,3.4691,0.056436
2324,3.4691,0.057082
2328,3.4691,0.056436
2332,3.4691,0.057708
2336,3.4691,0.057708
2340,3.4689,0.057708
2344,3.469,0.058354
2348,3.4689,0.058354
2352,3.469,0.05898
2356,3.469,0.059606
2360,3.4688,0.060252
2364,3.4688,0.060878
2368,3.4689,0.061524
2372,3.4689,0.061524
2376,3.469,0.061524
2380,3.469,0.06215
2384,3.4689,0.062776
2388,3.4688,0.063422
2392,3.4689,0.064048
2396,3.469,0.064048
2400,3.4691,0.064694
2404,3.469,0.064694
2408,3.4689,0.06532
2412,3.4689,0.066592
2416,3.469,0.066592
2420,3.469,0.066592
2424,3.4691,0.067218
2428,3.469,0.067864
2432,3.469,0.06849
2436,3.469,0.069116
2440,3.4689,0.069116
2444,3.4687,0.069762
2448,3.4688,0.069762
2452,3.4689,0.070388
2456,3.4688,0.071034
2460,3.4687,0.07166
2464,3.4687,0.072287
2468,3.4687,0.07166
2472,3.4688,0.072932
2476,3.4689,0.073559
2480,3.4688,0.074204
2484,3.4689,0.074204
2488,3.4689,0.074831
2492,3.4688,0.074831
2496,3.4689,0.076103
2500,3.4689,0.076103
2504,3.4687,0.076103
2508,3.4686,0.077375
2512,3.4686,0.077375
2516,3.4687,0.078314
2520,3.4687,0.078647
2524,3.4686,0.079273
2528,3.4685,0.079273
2532,3.4685,0.079899
2536,3.4685,0.080545
2540,3.4685,0.081171
2544,3.4685,0.081171
2548,3.4684,0.081817
2552,3.4686,0.081817
2556,3.4686,0.082443
2560,3.4686,0.083069
2564,3.4687,0.083715
2568,3.4687,0.083715
2572,3.4688,0.084987
2576,3.4687,0.084987
2580,3.4687,0.086239
2584,3.4688,0.085613
2588,3.4687,0.086885
2592,3.4686,0.086885
2596,3.4686,0.088157
2600,3.4686,0.088157
2604,3.4686,0.088157
2608,3.4687,0.089409
2612,3.4686,0.089409
2616,3.4685,0.089409
2620,3.4686,0.090681
2624,3.4685,0.090681
2628,3.4686,0.091327
2632,3.4686,0.091953
2636,3.4685,0.09258
2640,3.4684,0.09258
2644,3.4684,0.093225
2648,3.4683,0.093852
2652,3.4683,0.094497
2656,3.4684,0.09575
2660,3.4684,0.095124
2664,3.4683,0.09575
2668,3.4685,0.096396
2672,3.4685,0.097022
2676,3.4686,0.097668
2680,3.4687,0.097668
2684,3.4687,0.098294
2688,3.4686,0.09894
2692,3.4686,0.09894
2696,3.4686,0.10019
2700,3.4688,0.10019
2704,3.4688,0.10084
2708,3.4686,0.10146
2712,3.4687,0.10211
2716,3.4688,0.10211
2720,3.4689,0.10274
2724,3.4688,0.10336
2728,3.4687,0.10401
2732,3.4687,0.10463
2736,3.4686,0.10463
2740,3.4688,0.10528
2744,3.4688,0.10528
2748,3.4688,0.10653
2752,3.4688,0.10653
2756,3.4687,0.10718
2760,3.4688,0.1078
2764,3.4689,0.1078
2768,3.4691,0.10845
2772,3.4691,0.10908
2776,3.4691,0.1097
2780,3.4691,0.11035
2784,3.4691,0.11035
2788,3.4691,0.11097
2792,3.4691,0.11162
2796,3.4691,0.11225
2800,3.4691,0.11287
2804,3.469,0.11352
2808,3.469,0.11352
2812,3.469,0.11479
2816,3.469,0.11479
2820,3.4688,0.11542
2824,3.4689,0.11542
2828,3.469,0.11604
2832,3.4688,0.11604
2836,3.4688,0.117
2840,3.4689,0.11796
2844,3.469,0.11827
2848,3.4688,0.11921
2852,3.4687,0.11955
2856,3.4687,0.11986
2860,3.4688,0.12049
2864,3.4689,0.12049
2868,3.4689,0.12113
2872,3.469,0.1224
2876,3.4689,0.1224
2880,3.4688,0.12303
2884,3.4689,0.12303
2888,3.4689,0.12366
2892,3.4687,0.12399
2896,3.4689,0.12493
2900,3.4689,0.12493
2904,3.4688,0.12557
2908,3.4686,0.1262
2912,3.4687,0.12683
2916,3.4688,0.12683
2920,3.4689,0.12747
2924,3.4689,0.12874
2928,3.4686,0.12937
2932,3.4687,0.12937
2936,3.4686,0.13
2940,3.4686,0.13
2944,3.4687,0.13064
2948,3.4689,0.13127
2952,3.4688,0.13127
2956,3.4688,0.13191
2960,3.4687,0.13254
2964,3.4687,0.13317
2968,3.4686,0.13381
2972,3.4685,0.13444
2976,3.4686,0.13444
2980,3.4688,0.13508
2984,3.4688,0.13571
2988,3.4688,0.13634
2992,3.4688,0.13698
2996,3.4687,0.13698
3000,3.4686,0.13698
3004,3.4687,0.13761
3008,3.4687,0.13888
3012,3.4687,0.13951
3016,3.4687,0.14015
3020,3.4686,0.14015
3024,3.4685,0.14078
3028,3.4686,0.14078
3032,3.4686,0.14142
3036,3.4686,0.14205
3040,3.4687,0.14268
3044,3.4687,0.14332
3048,3.4686,0.14332
3052,3.4686,0.14459
3056,3.4687,0.14459
3060,3.4687,0.14522
3064,3.4687,0.14522
3068,3.4687,0.14522
3072,3.4686,0.14585
3076,3.4685,0.14712
3080,3.4685,0.14712
3084,3.4686,0.14712
3088,3.4685,0.14839
3092,3.4686,0.14904
3096,3.4685,0.14904
3100,3.4685,0.15029
3104,3.4686,0.15029
3108,3.4686,0.15093
3112,3.4686,0.15093
3116,3.4687,0.15221
3120,3.4685,0.15221
3124,3.4686,0.15283
3128,3.4687,0.15346
3132,3.4687,0.15346
3136,3.4686,0.15411
3140,3.4687,0.15473
3144,3.4687,0.15538
3148,3.4689,0.15538
3152,3.4689,0.156
3156,3.4687,0.15663
3160,3.4686,0.15663
3164,3.4687,0.1579
3168,3.4688,0.1579
3172,3.4687,0.15855
3176,3.4687,0.15917
3180,3.4687,0.15917
3184,3.4688,0.1598
3188,3.4687,0.16045
3192,3.4686,0.16107
3196,3.4686,0.16107
3200,3.4686,0.16234
3204,3.4687,0.16234
3208,3.4687,0.16297
3212,3.4689,0.16362
3216,3.4689,0.16362
3220,3.4689,0.16424
3224,3.469,0.16489
3228,3.4691,0.16489
3232,3.4691,0.16551
3236,3.469,0.16614
3240,3.469,0.16679
3244,3.4688,0.16679
3248,3.4688,0.16679
3252,3.4689,0.16806
3256,3.469,0.16868
3260,3.4691,0.16931
3264,3.469,0.16931
3268,3.469,0.16868
3272,3.469,0.16996
3276,3.4689,0.17058
3280,3.4688,0.17123
3284,3.4689,0.17123
3288,3.4689,0.17123
3292,3.4689,0.17185
3296,3.469,0.1725
3300,3.4689,0.17313
3304,3.4689,0.17375
3308,3.4689,0.17375
3312,3.4688,0.17471
3316,3.4688,0.17502
3320,3.4689,0.17567
3324,3.469,0.1763
3328,3.4689,0.17567
3332,3.4688,0.1763
3336,3.4689,0.17692
3340,3.4688,0.1782
3344,3.4689,0.17884
3348,3.4688,0.17884
3352,3.4688,0.17915
3356,3.4688,0.17947
3360,3.4688,0.17978
3364,3.4689,0.18074
3368,3.469,0.18074
3372,3.4689,0.18201
3376,3.4688,0.18201
3380,3.4688,0.18201
3384,3.4687,0.18264
3388,3.4685,0.18326
3392,3.4685,0.18391
3396,3.4685,0.18391
3400,3.4685,0.18454
3404,3.4685,0.18454
3408,3.4685,0.18518
3412,3.4686,0.18518
3416,3.4688,0.18643
3420,3.4688,0.18708
3424,3.4687,0.18708
3428,3.4689,0.18771
3432,3.4689,0.18835
3436,3.4688,0.18835
