Messstellennummer,Stationsname,Gewaesser,Parameter,Datum/Uhrzeit,Wert,Einheit,Produkt
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 14:00,2.813,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 15:00,2.809,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 16:00,2.805,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 17:00,2.83,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 18:00,2.809,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 19:00,2.817,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 20:00,2.783,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 21:00,2.758,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 22:00,2.741,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,10.01.2021 23:00,2.707,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 00:00,2.656,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 01:00,2.596,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 02:00,2.528,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 03:00,2.479,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 04:00,2.458,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 05:00,2.381,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 06:00,2.275,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 07:00,2.207,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 08:00,2.116,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 09:00,2.001,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 10:00,2.165,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 11:00,2.228,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 12:00,2.351,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 13:00,2.511,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 14:00,2.686,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 15:00,2.758,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 16:00,2.834,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 17:00,2.715,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 18:00,2.6,m3/s,Stundenmittelwert
61239,Ebnet Dreisam,Dreisam,Q,11.01.2021 19:00,2.544,m3/s,Stundenmittelwert
